name;Ca;dCa;Co;dCo;Cu;dCu;Fe;dFe;Ni;dNi;Описание;is_solid;id;tags;status_id;is_solution;last_normalized;sample_mass;Sc;dSc;repeat_number;method_number;created_at;priority;series_base;is_series;V (ml);Плотность;Масса твердого (g);pH;Eh;Масса навески (g);Объем р-ра H2SO4 (ml);Масса железных окатышей (g);Масса Ca(OH)2 (g);Масса CaCO3 (g);merge_date;Al;Mg;dZn;merged_from;dMg;dCd;Pb;dSi;Zn;dS;dMn;Si;Mn;dPb;Cd;S;dAl;масса;общая;last_mass_volume_update;mass_volume_source;Разбавление;Ru;mIr;mAl;K;Ag;mSc;mCu;Ir;mPt;mAu;mCl;mFe;Os;mRh;Cl;mCa;Rh;Pd;mNi;mCd;mRu;Масса навески (mg);mK;Mo;mZn;V_aliq (l);last_mass_recalculation;mCo;mMn;Au;mPb;mMo;mOs;mS;mPd;mAg;Pt;mSi;mMg;mEh;C;dC;mC;mass_solid_copied_from_C;last_copy_check;skip_reason;mass_source_for_solid;mass_volume_copy_skipped;Масса;Hg;mHg;Массовая доля CaCO3;Массовая доля Ca(OH)2;Объем суспензии CaCO3;Объем суспензии Ca(OH)2;volume_calculation_note;mass_calculation_note
AV111I;5.3679;0.35;0.4477;0.16;4.1682;0.03;228.6426;50.14;17.3071;0.19;промежуточный продукт флотации образца AV_1_1;1;11;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AV11C;12.8479;4.32;0.1877;0.07;1.9882;0.05;230.2626;49.15;7.9771;0.09;Камерный продукт флотации образца AV_1_1;1;12;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AV12_1_1_C;65.2779;49.48;0.1577;0.06;3.3082;0.07;95.1226;8.24;5.7471;0.08;Камерный продукт флотации образца AV12;1;13;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NV_1_2_F;17.6079;6.45;0.6777;0.14;8.2982;0.14;183.4526;24.05;33.3471;0.45;Концентрат флотации образца автоклавного нитритного выщелачивания МСП : 2.5г/л нитрита. 5 г/л серной кислоты 10 атм. 1.5 часа;1;14;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NV_AV1_F;6.4779;0.27;0.0777;0.02;3.2682;0.08;221.5526;33.03;2.2071;0.05; концентрат флотации продукта нитритного атмосферного из AV_1_1выщелачивания (сульфидизация только окатышами);1;15;[];3;0;2026-01-26T10:21:13.401723;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NV_MSP_F;16.7879;4.69;1.7177;0.27;15.4182;0.34;343.0326;66.42;37.4071;0.53; концентрат флотации продукта нитритного атмосферного выщелачивания из МСП (сульфидизация только окатышами);1;16;[];3;0;2026-01-26T10:21:13.401737;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NV1_1;38.8879;15.82;0.2977;0.11;1.3982;0.04;413.6926;65.83;98.9171;1.35;Раствор нитритного автоклавного выщелачивания  1;1;17;[];3;1;2026-01-26T10:21:13.401740;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NV1_2;54.3679;24.2;5.3977;0.59;43.5182;1.07;598.6926;119.11;263.2771;8.82;Раствор нитритного автоклавного выщелачивания  2;1;18;[];3;1;2026-01-26T10:21:13.401742;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_105_0_1_C;99.3079;3.24;0.0077;0;0.1982;0;56.7626;0.34;0.8571;0;0;1;19;[];3;0;2026-01-26T10:21:13.401744;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_105_0_1_F;68.5579;59.95;0.0177;0;0.3082;0.02;62.7026;7.77;1.1071;0.02;0;1;20;[];3;0;2026-01-26T10:21:13.401747;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_105_0_1_I;105.7379;3.38;0.0077;0;0.2082;0;46.7826;0.26;0.8571;0;0;1;21;[];3;0;2026-01-26T10:21:13.401748;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_110_0_1_С;119.4179;4.17;0.0177;0;0.2582;0;44.3826;0.25;1.1371;0;0;1;22;[];3;0;2026-01-26T10:21:13.401750;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_115_0_1_F;74.5179;62.24;0.0277;0.02;0.3582;0.01;47.6526;1.78;1.4271;0.03;0;1;23;[];3;0;2026-01-26T10:21:13.401752;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_120_0_1_F;74.2479;61.21;0.0477;0.03;0.5182;0.01;54.8426;2.32;2.1171;0.04;0;1;24;[];3;0;2026-01-26T10:21:13.401754;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_120_0_1_I;56.3779;42.43;0.0177;0.01;0.1782;0.01;32.1526;0.94;0.8571;0.02;0;1;25;[];3;0;2026-01-26T10:21:13.401756;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_120_3_0_1_C;70.9979;58.49;0.0277;0.01;0.2282;0.01;35.5726;1.11;1.0971;0.02;0;1;26;[];3;0;2026-01-26T10:21:13.401759;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_175_0_1_F;111.1879;3.55;0.0377;0;0.4282;0;74.5826;0.46;1.7971;0;0;1;27;[];3;0;2026-01-26T10:21:13.401761;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_175_0_1_I;116.0179;3.98;0.0277;0;0.3482;0;55.9726;0.33;1.4971;0;0;1;28;[];3;0;2026-01-26T10:21:13.401763;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_175_0_1_С;119.1779;4.2;0.0177;0;0.2282;0;57.7026;0.34;0.9971;0;0;1;29;[];3;0;2026-01-26T10:21:13.401764;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_205_0_1_C;93.9079;0.2;0.0277;0;0.3582;0;94.7626;2.01;1.7271;0.01;0;1;30;[];3;0;2026-01-26T10:21:13.401767;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_205_0_1_F;64.5079;1.14;0.0577;0;0.6682;0;162.3526;1.13;2.9971;0.01;0;1;31;[];3;0;2026-01-26T10:21:13.401769;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_205_0_1_I;57.9079;0.3;-0.0023;0;1.1682;0.02;221.9126;3.54;4.7871;0;0;1;32;[];3;0;2026-01-26T10:21:13.401771;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_210_0_1_F;80.5979;1.22;0.0477;0;0.6982;0;115.1826;1.21;2.7371;0.01;0;1;33;[];3;0;2026-01-26T10:21:13.401773;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_210_0_1_I;81.6679;1.92;0.0677;0;0.8382;0;132.4926;0.88;3.4571;0.01;0;1;34;[];3;0;2026-01-26T10:21:13.401775;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_210_0_1_С;109.5879;3.51;0.0277;0;0.3682;0;60.9326;0.37;1.7371;0;0;1;35;[];3;0;2026-01-26T10:21:13.401777;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_215_0_1_F;41.9979;30.32;0.0277;0.01;0.5582;0.03;160.3526;27.26;2.8071;0.01;0;1;36;[];3;0;2026-01-26T10:21:13.401781;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_215_0_1_I;47.8379;34.98;0.0477;0.01;0.7582;0.05;112.7926;16.51;3.2471;0.02;0;1;37;[];3;0;2026-01-26T10:21:13.401783;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_215_0_1_С;45.0879;33.28;0.0177;0.01;0.4782;0.03;159.9626;27.35;2.4671;0.01;0;1;38;[];3;0;2026-01-26T10:21:13.401785;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_220_0_1_C;57.6879;48.5;0.0277;0;0.4282;0.02;68.4826;8.8;1.8771;0.02;0;1;39;[];3;0;2026-01-26T10:21:13.401788;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_220_0_1_F;55.2279;44.99;0.0377;0.01;0.5082;0.03;107.4326;15.78;2.5671;0.01;0;1;40;[];3;0;2026-01-26T10:21:13.401789;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T13_275_0_1_F;25.1579;0.3;0.0677;0;0.9082;0.01;229.9926;1.71;3.8471;0.01;0;1;41;[];3;0;2026-01-26T10:21:13.401792;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
